input_param,input_unit,parameter_id,conversion,result_type,sample_fraction,result_value_type,result_speciation_id,matrix_state
BISMUTH EXTRACTABLE,µG/L,1055,0.001,2,6,1,,liquid
BISMUTH TOTAL,µG/L,1055,0.001,2,19,1,,liquid
BORON DISSOLVED,µG/L,1056,0.001,2,5,1,,liquid
BORON EXTRACTABLE,µG/L,1056,0.001,2,6,1,,liquid
BORON EXTRACTABLE,MG/L,1056,1,2,6,1,,liquid
BORON TOTAL,µG/L,1056,0.001,2,19,1,,liquid
BROMIDE,MG/L,1058,1,2,26,1,,liquid
BROMIDE DISSOLVED,MG/L,1058,1,2,5,1,,liquid
CADMIUM DISSOLVED,µG/L,1060,0.001,2,5,1,,liquid
CADMIUM EXTRACTABLE,µG/L,1060,0.001,2,6,1,,liquid
CADMIUM EXTRACTABLE,MG/L,1060,1,2,6,1,,liquid
CADMIUM TOTAL,µG/L,1060,0.001,2,19,1,,liquid
CADMIUM TOTAL,MG/L,1060,1,2,19,1,,liquid
CALCIUM DISSOLVED,MG/L,1061,1,2,5,1,,liquid
CALCIUM TOTAL,MG/L,1061,1,2,19,1,,liquid
CALCIUM EXTRACTABLE/UNFILTERED,MG/L,1061,1,2,6,1,,liquid
CARBON DISSOLVED INORGANIC,MG/L,1096,1,2,5,1,,liquid
CARBON DISSOLVED ORGANIC,MG/L,538,1,2,5,1,,liquid
CARBON TOTAL INORGANIC,MG/L,1096,1,2,19,1,,liquid
CARBON TOTAL ORGANIC,MG/L,538,1,2,19,1,,liquid
CERIUM DISSOLVED,µG/L,1066,0.001,2,5,1,,liquid
CERIUM TOTAL,µG/L,1066,0.001,2,19,1,,liquid
CESIUM DISSOLVED,µG/L,1067,0.001,2,5,1,,liquid
CESIUM TOTAL,µG/L,1067,0.001,2,19,1,,liquid
CHLORIDE DISSOLVED,MG/L,1069,1,2,5,1,,liquid
CHROMIUM DISSOLVED,µG/L,1072,0.001,2,5,1,,liquid
CHROMIUM EXTRACTABLE,µG/L,1072,0.001,2,6,1,,liquid
CHROMIUM EXTRACTABLE,MG/L,1072,1,2,6,1,,liquid
CHROMIUM TOTAL,µG/L,1072,0.001,2,19,1,,liquid
CHROMIUM TOTAL,MG/L,1072,1,2,19,1,,liquid
COBALT DISSOLVED,µG/L,1075,0.001,2,5,1,,liquid
COBALT EXTRACTABLE,µG/L,1075,0.001,2,6,1,,liquid
COBALT EXTRACTABLE,MG/L,1075,1,2,6,1,,liquid
COBALT TOTAL,µG/L,1075,0.001,2,19,1,,liquid
COBALT TOTAL,MG/L,1075,1,2,19,1,,liquid
COLOUR TRUE,REL UNIT,1183,1,2,,1,,liquid
COLOUR TRUE,CTU,1183,1,2,,1,,liquid
CONDUCTANCE (FIELD),µS/CM,1227,1,1,,1,,liquid
COPPER DISSOLVED,µG/L,1076,0.001,2,5,1,,liquid
COPPER EXTRACTABLE,µG/L,1076,0.001,2,6,1,,liquid
COPPER EXTRACTABLE,MG/L,1076,1,2,6,1,,liquid
COPPER TOTAL,µG/L,1076,0.001,2,19,1,,liquid
COPPER TOTAL,MG/L,1076,1,2,19,1,,liquid
CYANATE,MG/L,386,1,2,26,1,,liquid
CYANIDE FREE,MG/L,1077,1,2,11,1,,liquid
CYANIDE TOTAL,MG/L,1077,1,2,19,1,,liquid
CYANIDE TOTAL,µG/L,1077,0.001,2,19,1,,liquid
CYANIDE WEAK ACID DISSOCIABLE,MG/L,1077,1,2,1,1,,liquid
CYANIDE WEAK ACID DISSOCIABLE,µG/L,1077,0.001,2,1,1,,liquid
DISSOLVED NITRITE/NITRATE,MG/L,1034,1,2,5,1,14,liquid
DISSOLVED NITROGEN NITRATE,MG/L,1036,1,2,5,1,14,liquid
EUROPIUM DISSOLVED,µG/L,1079,0.001,2,5,1,,liquid
EUROPIUM TOTAL,µG/L,1079,0.001,2,19,1,,liquid
FECAL COLIFORMS,CFU/100ML,1211,1,2,,1,,liquid
FLUORIDE DISSOLVED,MG/L,1082,1,2,5,1,,liquid
GADOLINIUM DISSOLVED,µG/L,1084,0.001,2,5,1,,liquid
GADOLINIUM TOTAL RECOVERABLE,µG/L,1084,0.001,2,20,1,,liquid
GALLIUM DISSOLVED,µG/L,1085,0.001,2,5,1,,liquid
GALLIUM EXTRACTABLE,µG/L,1085,0.001,2,6,1,,liquid
GALLIUM TOTAL,µG/L,1085,0.001,2,19,1,,liquid
GERMANIUM DISSOLVED,µG/L,1086,0.001,2,5,1,,liquid
GERMANIUM TOTAL,µG/L,1086,0.001,2,19,1,,liquid
HAFNIUM DISSOLVED,µG/L,1088,0.001,2,5,1,,liquid
HAFNIUM TOTAL,µG/L,1088,0.001,2,19,1,,liquid
HARDNESS DISSOLVED CACO3,MG/L,100,1,2,5,1,3,liquid
HARDNESS TOTAL (CALCD.) CACO3,MG/L,100,1,2,5,3,3,liquid
HOLMIUM DISSOLVED,µG/L,1090,0.001,2,5,1,,liquid
HOLMIUM TOTAL,µG/L,1090,0.001,2,19,1,,liquid
INDIUM DISSOLVED,µG/L,1095,0.001,2,5,1,,liquid
INDIUM TOTAL,µG/L,1095,0.001,2,19,1,,liquid
IRIDIUM DISSOLVED,µG/L,1097,0.001,2,5,1,,liquid
IRIDIUM TOTAL,µG/L,1097,0.001,2,19,1,,liquid
IRON DISSOLVED,µG/L,1098,0.001,2,5,1,,liquid
IRON EXTRACTABLE,MG/L,1098,1,2,6,1,,liquid
IRON EXTRACTABLE,µG/L,1098,0.001,2,6,1,,liquid
IRON TOTAL,µG/L,1098,0.001,2,19,1,,liquid
IRON TOTAL,MG/L,1098,1,2,19,1,,liquid
LANTHANUM DISSOLVED,µG/L,1099,0.001,2,5,1,,liquid
LANTHANUM EXTRACTABLE,µG/L,1099,0.001,2,6,1,,liquid
LANTHANUM TOTAL,µG/L,1099,0.001,2,19,1,,liquid
LEAD DISSOLVED,µG/L,1100,0.001,2,5,1,,liquid
LEAD EXTRACTABLE,µG/L,1100,0.001,2,6,1,,liquid
LEAD EXTRACTABLE,MG/L,1100,1,2,6,1,,liquid
LEAD TOTAL,µG/L,1100,0.001,2,19,1,,liquid
LEAD TOTAL,MG/L,1100,1,2,19,1,,liquid
LITHIUM DISSOLVED,µG/L,1101,0.001,2,5,1,,liquid
LITHIUM EXTRACTABLE,µG/L,1101,0.001,2,6,1,,liquid
LITHIUM EXTRACTABLE,MG/L,1101,1,2,6,1,,liquid
LITHIUM TOTAL,µG/L,1101,0.001,2,19,1,,liquid
LITHIUM TOTAL,MG/L,1101,1,2,19,1,,liquid
LUTETIUM DISSOLVED,µG/L,1102,0.001,2,5,1,,liquid
LUTETIUM TOTAL,µG/L,1102,0.001,2,19,1,,liquid
MAGNESIUM DISSOLVED,MG/L,1103,1,2,5,1,,liquid
MAGNESIUM TOTAL,MG/L,1103,1,2,19,1,,liquid
MAGNESIUM EXTRACTABLE/UNFILTERED,MG/L,1103,1,2,6,1,,liquid
MANGANESE DISSOLVED,µG/L,1104,0.001,2,5,1,,liquid
MANGANESE EXTRACTABLE,µG/L,1104,0.001,2,6,1,,liquid
MANGANESE EXTRACTABLE,MG/L,1104,1,2,6,1,,liquid
MANGANESE TOTAL,µG/L,1104,0.001,2,19,1,,liquid
MANGANESE TOTAL,MG/L,1104,1,2,19,1,,liquid
MERCURY TOTAL,NG/L,1105,0.000001,2,19,1,,liquid
MOLYBDENUM DISSOLVED,µG/L,1107,0.001,2,5,1,,liquid
MOLYBDENUM EXTRACTABLE,µG/L,1107,0.001,2,6,1,,liquid
MOLYBDENUM EXTRACTABLE,MG/L,1107,1,2,6,1,,liquid
MOLYBDENUM TOTAL,µG/L,1107,0.001,2,19,1,,liquid
MOLYBDENUM TOTAL,MG/L,1107,1,2,19,1,,liquid
NEODYMIUM DISSOLVED,µG/L,1108,0.001,2,5,1,,liquid
NEODYMIUM TOTAL,µG/L,1108,0.001,2,19,1,,liquid
NICKEL DISSOLVED,µG/L,1109,0.001,2,5,1,,liquid
NICKEL EXTRACTABLE,µG/L,1109,0.001,2,6,1,,liquid
NICKEL EXTRACTABLE,MG/L,1109,1,2,6,1,,liquid
NICKEL TOTAL,µG/L,1109,0.001,2,19,1,,liquid
NICKEL TOTAL,MG/L,1109,1,2,19,1,,liquid
NIOBIUM DISSOLVED,µG/L,1110,0.001,2,5,1,,liquid
NIOBIUM EXTRACTABLE,µG/L,1110,0.001,2,6,1,,liquid
NIOBIUM TOTAL,µG/L,1110,0.001,2,19,1,,liquid
NITROGEN DISSOLVED NITRITE,MG/L,1037,1,2,5,1,14,liquid
NITROGEN NITRITE,MG/L,1037,1,2,26,1,14,liquid
NITROGEN TOTAL,MG/L,1262,1,2,19,1,14,liquid
NITROGEN TOTAL DISSOLVED,MG/L,1262,1,2,5,1,14,liquid
ORTHOPHOSPHATE DISSOLVED,MG/L,1041,1,2,5,1,24,liquid
ORTHOPHOSPHORUS DISSOLVED,MG/L,1041,1,2,5,1,24,liquid
OXYGEN DISSOLVED,MG/L,97,1,2,5,1,,liquid
PALLADIUM DISSOLVED,µG/L,1263,0.001,2,5,1,,liquid
PALLADIUM TOTAL,µG/L,1263,0.001,2,19,1,,liquid
PH,PH,1190,1,2,,1,,liquid
PH (FIELD),PH,1190,1,1,,1,,liquid
PHOSPHORUS TOTAL,MG/L,1111,1,2,19,1,,liquid
PHOSPHORUS TOTAL DISSOLVED,MG/L,1111,1,2,5,1,,liquid
PLATINUM DISSOLVED,µG/L,1112,0.001,2,5,1,,liquid
PLATINUM TOTAL,µG/L,1112,0.001,2,19,1,,liquid
POTASSIUM DISSOLVED/FILTERED,MG/L,1113,1,2,5,1,,liquid
POTASSIUM EXTRACTABLE,MG/L,1113,1,2,6,1,,liquid
POTASSIUM EXTRACTABLE/UNFILTERED,MG/L,1113,1,2,6,1,,liquid
POTASSIUM FILTERED,MG/L,1113,1,2,5,1,,liquid
POTASSIUM TOTAL,MG/L,1113,1,2,19,1,,liquid
PRASEODYMIUM DISSOLVED,µG/L,1114,0.001,2,5,1,,liquid
PRASEODYMIUM TOTAL,µG/L,1114,0.001,2,19,1,,liquid
RESIDUE FILTERABLE,MG/L,104,1,2,19,3,,liquid
RESIDUE NONFILTERABLE,MG/L,,,2,,1,,liquid
TOTAL DISSOLVED SOLIDS (FILTERABLE RESIDUE) (CALCD.),MG/L,104,1,2,19,3,,liquid
RUBIDIUM DISSOLVED,µG/L,1117,0.001,2,5,1,,liquid
RUBIDIUM EXTRACTABLE,µG/L,1117,0.001,2,6,1,,liquid
RUBIDIUM TOTAL,µG/L,1117,0.001,2,19,1,,liquid
RUTHENIUM DISSOLVED,µG/L,1118,0.001,2,5,1,,liquid
RUTHENIUM TOTAL,µG/L,1118,0.001,2,19,1,,liquid
SAMARIUM DISSOLVED,µG/L,1119,0.001,2,5,1,,liquid
SAMARIUM TOTAL,µG/L,1119,0.001,2,19,1,,liquid
SCANDIUM DISSOLVED,µG/L,1120,0.001,2,5,1,,liquid
SCANDIUM TOTAL,µG/L,1120,0.001,2,19,1,,liquid
SELENIUM DISSOLVED,µG/L,1123,0.001,2,5,1,,liquid
SELENIUM DISSOLVED,MG/L,1123,1,2,5,1,,liquid
SELENIUM EXTRACTABLE,µG/L,1123,0.001,2,6,1,,liquid
SELENIUM TOTAL,µG/L,1123,0.001,2,19,1,,liquid
SELENIUM TOTAL,MG/L,1123,1,2,19,1,,liquid
SIO2,MG/L,1124,1,2,26,1,,liquid
SILICON DISSOLVED,MG/L,1127,1,2,5,1,,liquid
SILICON EXTRACTABLE,MG/L,1127,1,2,6,1,,liquid
SILVER DISSOLVED,µG/L,1128,0.001,2,5,1,,liquid
SILVER EXTRACTABLE,µG/L,1128,0.001,2,6,1,,liquid
SILVER TOTAL,µG/L,1128,0.001,2,19,1,,liquid
SILVER TOTAL,MG/L,1128,1,2,19,1,,liquid
SODIUM DISSOLVED/FILTERED,MG/L,1129,1,2,5,1,,liquid
SODIUM EXTRACTABLE,MG/L,1129,1,2,6,1,,liquid
SODIUM FILTERED,MG/L,1129,1,2,5,1,,liquid
SODIUM TOTAL,MG/L,1129,1,2,19,1,,liquid
SODIUM EXTRACTABLE/UNFILTERED,MG/L,1129,1,2,6,1,,liquid
SPECIFIC CONDUCTANCE,µS/CM,1227,1,2,,1,,liquid
STRONTIUM DISSOLVED,µG/L,1130,0.001,2,5,1,,liquid
STRONTIUM EXTRACTABLE,µG/L,1130,0.001,2,6,1,,liquid
STRONTIUM EXTRACTABLE,MG/L,1130,1,2,6,1,,liquid
STRONTIUM TOTAL,µG/L,1130,0.001,2,19,1,,liquid
STRONTIUM TOTAL,MG/L,1130,1,2,19,1,,liquid
SULPHATE DISSOLVED,MG/L,1131,1,2,5,1,,liquid
SULPHUR DISSOLVED,MG/L,1133,1,2,5,1,,liquid
TELLURIUM DISSOLVED,µG/L,1136,0.001,2,5,1,,liquid
TELLURIUM TOTAL,µG/L,1136,0.001,2,19,1,,liquid
TEMPERATURE (AIR),DEG C,1250,1,2,,1,,liquid
TEMPERATURE (WATER),DEG C,1251,1,2,,1,,liquid
TEMPERATURE WATER (FIELD),DEG C,1251,1,1,,1,,liquid
TERBIUM DISSOLVED,µG/L,1137,0.001,2,5,1,,liquid
TERBIUM TOTAL,µG/L,1137,0.001,2,19,1,,liquid
THALLIUM DISSOLVED,µG/L,1138,0.001,2,5,1,,liquid
THALLIUM EXTRACTABLE,µG/L,1138,0.001,2,6,1,,liquid
THALLIUM TOTAL,µG/L,1138,0.001,2,19,1,,liquid
THIOCYANATE,MG/L,1008,1,2,26,1,,liquid
TIN DISSOLVED,µG/L,1140,0.001,2,5,1,,liquid
TIN TOTAL,µG/L,1140,0.001,2,19,1,,liquid
TITANIUM DISSOLVED,µG/L,1141,0.001,2,5,1,,liquid
TITANIUM TOTAL,µG/L,1141,0.001,2,19,1,,liquid
TUNGSTEN DISSOLVED,µG/L,1142,0.001,2,5,1,,liquid
TUNGSTEN TOTAL,µG/L,1142,0.001,2,19,1,,liquid
TURBIDITY,NTU,19,1,2,19,1,,liquid
URANIUM DISSOLVED,µG/L,90,0.001,2,5,1,,liquid
URANIUM EXTRACTABLE,µG/L,90,0.001,2,6,1,,liquid
URANIUM TOTAL,µG/L,90,0.001,2,19,1,,liquid
VANADIUM DISSOLVED,µG/L,1143,0.001,2,5,1,,liquid
VANADIUM EXTRACTABLE,µG/L,1143,0.001,2,6,1,,liquid
VANADIUM EXTRACTABLE,MG/L,1143,1,2,6,1,,liquid
VANADIUM TOTAL,µG/L,1143,0.001,2,19,1,,liquid
VANADIUM TOTAL,MG/L,1143,1,2,19,1,,liquid
YTTERBIUM DISSOLVED,µG/L,1144,0.001,2,5,1,,liquid
YTTERBIUM TOTAL,µG/L,1144,0.001,2,19,1,,liquid
YTTRIUM DISSOLVED,µG/L,1145,0.001,2,5,1,,liquid
YTTRIUM TOTAL,µG/L,1145,0.001,2,19,1,,liquid
ZINC DISSOLVED,µG/L,1146,0.001,2,5,1,,liquid
ZINC EXTRACTABLE,MG/L,1146,1,2,6,1,,liquid
ZINC EXTRACTABLE,µG/L,1146,0.001,2,6,1,,liquid
ZINC TOTAL,µG/L,1146,0.001,2,19,1,,liquid
ZINC TOTAL,MG/L,1146,1,2,19,1,,liquid
ZIRCONIUM DISSOLVED,µG/L,1147,0.001,2,5,1,,liquid
ZIRCONIUM TOTAL,µG/L,1147,0.001,2,19,1,,liquid
1-METHYLNAPHTHALENE,NG/L,183,0.000001,2,26,1,,liquid
2-CHLORONAPHTHALENE,NG/L,223,0.000001,2,26,1,,liquid
2-METHYLNAPHTHALENE,NG/L,230,0.000001,2,26,1,,liquid
ACENAPHTHENE,NG/L,263,0.000001,2,26,1,,liquid
ACENAPHTHYLENE,NG/L,265,0.000001,2,26,1,,liquid
ALDRIN,NG/L,693,0.000001,2,26,1,,liquid
ALPHA-BENZENE HEXACHLORIDE OR ALPHA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),NG/L,656,0.000001,2,26,1,,liquid
ALPHA-BENZENE HEXACHLORIDE,NG/L,656,0.000001,2,26,1,,liquid
ALPHA-HEXACHLOROCYCLOHEXANE,NG/L,656,0.000001,2,26,1,,liquid
ALPHA-HEXACHLORANE,NG/L,656,0.000001,2,26,1,,liquid
ALPHA-CHLORDANE,NG/L,752,0.000001,2,26,1,,liquid
ALPHA-ENDOSULFAN,NG/L,655,0.000001,2,26,1,,liquid
BENZO(A)ANTHRACENE,NG/L,278,0.000001,2,26,1,,liquid
BENZO(A)PHENANTHRENE OR CHRYSENE,NG/L,373,0.000001,2,26,1,,liquid
CHRYSENE,NG/L,373,0.000001,2,26,1,,liquid
BENZO(A)PYRENE,NG/L,291,0.000001,2,26,1,,liquid
BENZO(A)PYRENE-D12,NG/L,292,0.000001,2,26,1,,liquid
BENZO(B)FLUORANTHENE,NG/L,286,0.000001,2,26,1,,liquid
BENZO(E)PYRENE,NG/L,298,0.000001,2,26,1,,liquid
"BENZO(G,H,I)PERYLENE",NG/L,299,0.000001,2,26,1,,liquid
BENZO(K)FLUORANTHENE,NG/L,301,0.000001,2,26,1,,liquid
BENZOPHENANTHRENE,NG/L,297,0.000001,2,26,1,,liquid
BETA-ENDOSULFAN,NG/L,657,0.000001,2,26,1,,liquid
DELTA-BENZENE HEXACHLORIDE OR DELTA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),NG/L,661,0.000001,2,26,1,,liquid
DELTA-HEXACHLOROCYCLOHEXANE,NG/L,661,0.000001,2,26,1,,liquid
DELTA-HEXACHLORANE,NG/L,,0.000001,2,26,1,,liquid
"DIBENZO(A,H)ANTHRACENE OR DIBENZ(A,H)ANTHRACENE",NG/L,391,0.000001,2,26,1,,liquid
"DIBENZ(A,H)ANTHRACENE",,391,0.000001,2,26,1,,liquid
DIELDRIN,NG/L,793,0.000001,2,26,1,,liquid
ENDRIN KETONE AS A SURROGATE,NG/L,812,0.000001,2,26,1,,liquid
ENDRIN,NG/L,810,0.000001,2,26,1,,liquid
FLUORANTHENE,NG/L,434,0.000001,2,26,1,,liquid
FLUORENE,NG/L,436,0.000001,2,26,1,,liquid
FLUORENE-D10,NG/L,,0.000001,2,26,1,,liquid
GAMMA-BENZENE HEXACHLORIDE OR GAMMA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH) OR LINDANE,NG/L,662,0.000001,2,26,1,,liquid
LINDANE,NG/L,662,0.000001,2,26,1,,liquid
GAMMA-HEXACHLOROCYCLOHEXANE,NG/L,662,0.000001,2,26,1,,liquid
GAMMA-HEXACHLORANE,NG/L,662,0.000001,2,26,1,,liquid
GAMMA-CHLORDANE,NG/L,737,0.000001,2,26,1,,liquid
HEPTACHLOR EPOXIDE,NG/L,857,0.000001,2,26,1,,liquid
HEPTACHLOR,NG/L,855,0.000001,2,26,1,,liquid
HEXACHLOROBENZENE,NG/L,858,0.000001,2,26,1,,liquid
INDENE,NG/L,459,0.000001,2,26,1,,liquid
"INDENO(1,2,3-C,D)PYRENE",NG/L,461,0.000001,2,26,1,,liquid
MIREX,NG/L,898,0.000001,2,26,1,,liquid
NAPHTHALENE,NG/L,507,0.000001,2,26,1,,liquid
NAPHTHALENE-D8,NG/L,508,0.000001,2,26,1,,liquid
"O,P'-DDT (2,4'-DDT)",NG/L,913,0.000001,2,26,1,,liquid
"O,P'-DDT",NG/L,913,0.000001,2,26,1,,liquid
"2,4'-DDT",NG/L,913,0.000001,2,26,1,,liquid
"P,P'-DDE (4,4'-DDE)",NG/L,924,0.000001,2,26,1,,liquid
"P,P'-DDE",,924,0.000001,2,26,1,,liquid
"4,4'-DDE",NG/L,924,0.000001,2,26,1,,liquid
"P,P'-DDT (4,4'-DDT)",NG/L,925,0.000001,2,26,1,,liquid
"P,P'-DDT",,925,0.000001,2,26,1,,liquid
"4,4'-DDT",NG/L,925,0.000001,2,26,1,,liquid
"P,P'-DICHLORODIPHENYL DICHLOROETHANE (P,P'-DDD) OR 1,2-DIPHENYL TETRACHLOROETHANE (4,4'-DDD)",NG/L,923,0.000001,2,26,1,,liquid
"P,P'-DDD",NG/L,923,0.000001,2,26,1,,liquid
"1,2-DIPHENYL TETRACHLOROETHANE",NG/L,923,0.000001,2,26,1,,liquid
"4,4'-DDD",NG/L,923,0.000001,2,26,1,,liquid
"P,P'-METHOXYCHLOR (METHOXYCHLOR)",NG/L,926,0.000001,2,26,1,,liquid
METHODYCHLOR,NG/L,926,0.000001,2,26,1,,liquid
PERYLENE,NG/L,555,0.000001,2,26,1,,liquid
PHENANTHRENE,NG/L,559,0.000001,2,26,1,,liquid
COLOUR,CTU,1183,1,2,26,1,,liquid
